id_pncp_item_compra,cod_compra,cod_item_compra,numero_item_pncp,numero_grupo,numero_item_compra,descricao_resumida,material_ou_servico,valor_unitario_estimado,valor_total,quantidade,unidade_medida,orcamento_sigiloso,item_categoria_id_pncp,item_categoria_nome,criterio_julgamento_id_pncp,criterio_julgamento_nome,situacao_compra_item,situacao_compra_item_nome,tipo_beneficio,tipo_beneficio_nome,incentivo_produtivo_basico,data_inclusao_pncp,data_atualizacao_pncp,tem_resultado,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,id_compra,id_compra_item,ano_compra,sequencial_compra,orgao_entidade_cnpj,unidade_orgao_codigo_unidade,margem_preferencia_normal,margem_preferencia_adicional,numero_controle_PNCP_compra
49219575,10042157,48008015,71,0,71,CONFECÇÃO SACOLAS,Serviço,3.19,638.0,200.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600071,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219576,10042157,48008016,72,0,72,CONFECÇÃO PASTA - USO PESSOAL PARA DOCUMENTO / CONGRESSO,Serviço,43.9,26340.0,600.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,64248338000140.0,FAVO - DISTRIBUIDORA E SERVICOS LTDA,2026-04-26,20400.0,34.0,600.0,12006005900112026,1200600590011202600072,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219577,10042157,48008017,73,0,73,CONFECÇÃO DE CRACHÁS,Serviço,15.0,9000.0,600.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,4080.0,6.8,600.0,12006005900112026,1200600590011202600073,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219578,10042157,48008018,74,0,74,CONFECÇÃO SACOLAS,Serviço,24.0,14400.0,600.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,6000.0,10.0,600.0,12006005900112026,1200600590011202600074,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219581,10042157,48008019,75,0,75,CONFECÇÃO DE PLACAS /  QUADROS /  DISTINTIVOS / ARTEFATOS DEACRÍLICO / METAL / LAMINADO / PVC,Serviço,37.0,1850.0,50.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,6330279000158.0,CRYSTAL DOURADO ADESIVOS LTDA,2026-04-26,1297.925,25.9585,50.0,12006005900112026,1200600590011202600075,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219582,10042157,48008020,76,0,76,SERVIÇO GRÁFICO - POLICROMIA,Serviço,40.0,400.0,10.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:49,True,00394429000100-1-000153/2026,60827030000106.0,60.827.030 JERONIDES LOPES DA SILVA,2026-04-26,389.9,38.99,10.0,12006005900112026,1200600590011202600076,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219583,10042157,48008021,77,0,77,CONFECÇÃO DE PLACAS /  QUADROS /  DISTINTIVOS / ARTEFATOS DEACRÍLICO / METAL / LAMINADO / PVC,Serviço,50.0,1500.0,30.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:49,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,750.0,25.0,30.0,12006005900112026,1200600590011202600077,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219584,10042157,48008022,78,0,78,CONFECÇÃO PLACA COMEMORATIVA,Serviço,250.0,8000.0,32.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:49,True,00394429000100-1-000153/2026,58600411000106.0,GUERRA COMERCIO E SERVICOS LTDA,2026-04-26,7264.0,227.0,32.0,12006005900112026,1200600590011202600078,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219585,10042157,48008023,79,0,79,GRÁFICO - IMPRESSÃO ETIQUETA,Serviço,0.03,150.0,5000.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600079,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219586,10042157,48008024,80,0,80,GRÁFICO - IMPRESSÃO ETIQUETA,Serviço,0.02,60.0,3000.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600080,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
